timestamp,last_updated,outstanding,incoming
09-02-2021,2021-02-08 10:00:00,898,0
10-02-2021,2021-02-08 10:00:00,898,0
11-02-2021,2021-02-08 10:00:00,898,0
11-02-2021,2021-02-10 14:59:00,898,0
12-02-2021,2021-02-10 14:59:00,898,0
13-02-2021,2021-02-12 09:23:00,900,0
14-02-2021,2021-02-12 09:23:00,900,0
15-02-2021,2021-02-12 09:23:00,900,0
16-02-2021,2021-02-15 08:44:00,906,0
17-02-2021,2021-02-15 08:44:00,906,0
18-02-2021,2021-02-15 08:44:00,906,0
19-02-2021,2021-02-15 08:44:00,906,0
20-02-2021,2021-02-19 09:15:00,903,10
21-02-2021,2021-02-19 09:15:00,903,10
22-02-2021,2021-02-19 09:15:00,903,10
23-02-2021,2021-02-22 09:05:00,908,10
24-02-2021,2021-02-22 09:05:00,908,10
04-03-2021,2021-03-03 13:49:00,935,0
05-03-2021,2021-03-03 13:49:00,935,0
06-03-2021,2021-03-05 09:19:00,937, 0
07-03-2021,2021-03-05 09:19:00,937,0
08-03-2021,2021-03-05 09:19:00,937,0
09-03-2021,2021-03-08 08:49:00,939,0
10-03-2021,2021-03-08 08:49:00,939,0
11-03-2021,2021-03-08 08:49:00,939, 0
12-03-2021,2021-03-08 08:49:00,939, 0
13-03-2021,2021-03-12 11:08:00,944,12
14-03-2021,2021-03-12 11:08:00,944,12
15-03-2021,2021-03-12 11:08:00,944,12
16-03-2021,2021-03-15 08:37:00,942,12
17-03-2021,2021-03-15 08:37:00,942,12
18-03-2021,2021-03-15 08:37:00,942,12
19-03-2021,2021-03-15 08:37:00,942,12
20-03-2021,2021-03-19 08:44:00,928,0
21-03-2021,2021-03-19 08:44:00,928,0
22-03-2021,2021-03-19 08:44:00,928,0
23-03-2021,2021-03-22 08:41:00,928,0
24-03-2021,2021-03-22 08:41:00,928,0
25-03-2021,2021-03-22 08:41:00,928,0
26-03-2021,2021-03-22 08:41:00,928,0
27-03-2021,2021-03-26 11:38:00,923,19
28-03-2021,2021-03-26 11:38:00,923,19
29-03-2021,2021-03-26 11:38:00,923,19
30-03-2021,2021-03-29 09:01:00,921,19
31-03-2021,2021-03-29 09:01:00,921,19
01-04-2021,2021-03-29 09:01:00,921,19
02-04-2021,2021-03-29 09:01:00,921,19
03-04-2021,2021-03-29 09:01:00,921,19
04-04-2021,2021-03-29 09:01:00,921,19
05-04-2021,2021-03-29 09:01:00,921,19
06-04-2021,2021-03-29 09:01:00,921,19
07-04-2021,2021-04-06 10:58:00,919,19
08-04-2021,2021-04-06 10:58:00,919,19
09-04-2021,2021-04-06 10:58:00,919,19
10-04-2021,2021-04-06 10:58:00,919,19 
11-04-2021,2021-04-06 10:58:00,919,19
12-04-2021,2021-04-06 10:58:00,919,19
14-04-2021,2021-04-12 10:50:00,899,15
15-04-2021,2021-04-12 10:50:00,899,15
16-04-2021,2021-04-12 10:50:00,899,15
17-04-2021,2021-04-16 11:41:00,881,23
18-04-2021,2021-04-16 11:41:00,881,23
19-04-2021,2021-04-16 11:41:00,881,23
20-04-2021,2021-04-19 08:48:00,875,23
21-04-2021,2021-04-19 08:48:00,875,23
22-04-2021,2021-04-19 08:48:00,875,23
23-04-2021,2021-04-19 08:48:00,875,23
24-04-2021,2021-04-23 12:14:00,856,14
25-04-2021,2021-04-23 12:14:00,856,14
26-04-2021,2021-04-23 12:14:00,856,14
27-04-2021,2021-04-26 12:57:00,856,14
28-04-2021,2021-04-26 12:57:00,856,14
29-04-2021,2021-04-26 12:57:00,856,14
30-04-2021,2021-04-26 12:57:00,856,14
01-05-2021,2021-04-26 12:57:00,856,14
02-05-2021,2021-04-26 12:57:00,856,14
03-05-2021,2021-04-26 12:57:00,856,14
04-05-2021,2021-05-03 09:05:00,843,5
05-05-2021,2021-05-03 09:05:00,843,5
06-05-2021,2021-05-03 09:05:00,843,5
07-05-2021,2021-05-03 09:05:00,843,5
08-05-2021,2021-05-07 10:51:00,835,0
09-05-2021,2021-05-07 10:51:00,835,0
10-05-2021,2021-05-07 10:51:00,835,0
